origin_id,origin_name,mode,num_trips,num_routes,min_headway_secs,max_headway_secs,mean_headway_secs,median_headway_secs,mode_headway_secs,min_travel_time_secs,max_travel_time_secs,mean_travel_time_secs,median_travel_time_secs,mode_travel_time_secs
207710,Waitara Station,sydney_trains,95,1,180,936,607,660,900,2826,2982,2877,2862,2862
36771,Wangaratta Station,sydney_trains,1,1,,,,,,31236,31236,31236,31236,31236
225930,Warnervale Station,sydney_trains,16,1,1230,7200,3568,3600,3600,6300,7440,6930,6930,6840
207420,Warrawee Station,sydney_trains,95,1,180,936,604,660,900,2574,2730,2621,2610,2610
277420,Warrimoo Station,sydney_trains,23,1,390,3738,2454,1806,1800,4458,4890,4537,4518,4458
217010,Warwick Farm Station,sydney_trains,97,2,180,1458,587,720,720,3222,3690,3316,3252,3252
223330,Waterfall Station,sydney_trains,35,2,479,2160,1660,1800,1800,2700,3282,3044,3251,3251
24461,Wauchope Station,sydney_trains,2,1,16560,16560,16560,16560,16560,24360,24618,24489,24489,24360
206020,Waverton Station,sydney_trains,166,3,180,552,342,360,360,948,1038,978,978,978
28202,Wellington Station,sydney_trains,1,1,,,,,,22200,22200,22200,22200,22200
278210,Wentworth Falls Station,sydney_trains,20,1,1320,3714,2842,3594,3600,6294,7170,6740,6723,6690
214520,Wentworthville Station,sydney_trains,46,2,360,2034,1232,900,900,1860,2160,1953,1980,1980
274710,Werrington Station,sydney_trains,70,1,432,1020,823,900,900,3180,3810,3362,3330,3330
23411,Werris Creek Station,sydney_trains,1,1,,,,,,19451,19451,19451,19451,19451
211420,West Ryde Station,sydney_trains,72,1,360,900,799,900,900,1440,1860,1657,1680,1680
214510,Westmead Station,sydney_trains,99,2,180,1050,573,660,180,1710,2220,1801,1770,1770
23391,Willow Tree Station,sydney_trains,1,1,,,,,,17952,17952,17952,17952,17952
275620,Windsor Station,sydney_trains,28,1,1800,1800,1800,1800,1800,4170,4530,4295,4290,4290
24291,Wingham Station,sydney_trains,2,1,17280,17280,17280,17280,17280,18840,19818,19329,19329,18840
